"No.","Time","Source","Destination","Protocol","Length","Info"
"624","21.491329670","172.16.0.59","172.16.0.58","SCTP","62","SACK (Ack=21, Arwnd=106496) "
"625","21.491329842","172.16.0.59","172.16.0.58","SCTP","62","SACK (Ack=21, Arwnd=106496) "
"626","21.582545130","VMware_45:3c:fc","Broadcast","ARP","60","Who has 172.16.0.104? Tell 172.16.0.100"
"627","21.582545327","VMware_45:3c:fc","Broadcast","ARP","60","Who has 172.16.0.104? Tell 172.16.0.100"
"628","21.655003605","fe80::8087:648:515a:67aa","ff02::1:2","DHCPv6","169","Solicit XID: 0x53f3b8 CID: 00010001276e913ba4bb6d51361f "
"629","21.655003819","fe80::8087:648:515a:67aa","ff02::1:2","DHCPv6","169","Solicit XID: 0x53f3b8 CID: 00010001276e913ba4bb6d51361f "
"630","21.685107439","Cisco_2b:6c:05","Cisco_ab:5c:2e","LOOP","60","Unknown function (256)"
"631","21.685107638","Cisco_2b:6c:05","Cisco_ab:5c:2e","LOOP","60","Unknown function (256)"
"632","22.040916370","172.16.0.58","172.16.0.59","SCTP","82","DATA (TSN=22) "
"633","22.040916754","172.16.0.58","172.16.0.59","SCTP","82","DATA (TSN=22) (retransmission) "
"634","22.041288653","172.16.0.59","172.16.0.58","SCTP","110","SACK (Ack=22, Arwnd=106496) DATA (TSN=22) "
"635","22.041288831","172.16.0.59","172.16.0.58","SCTP","110","SACK (Ack=22, Arwnd=106496) DATA (TSN=22) (retransmission) "
"636","22.244516941","172.16.0.58","172.16.0.59","SCTP","62","SACK (Ack=22, Arwnd=106496) "
"637","22.244517149","172.16.0.58","172.16.0.59","SCTP","62","SACK (Ack=22, Arwnd=106496) "
"638","22.250158814","JuniperN_c6:95:41","Broadcast","ARP","60","Who has 172.16.0.1? Tell 172.16.10.210"
"639","22.250159010","JuniperN_c6:95:41","Broadcast","ARP","60","Who has 172.16.0.1? Tell 172.16.10.210"
"640","22.291171349","172.16.0.59","172.16.0.58","SCTP","74","DATA (TSN=22) "
"641","22.291171522","172.16.0.59","172.16.0.58","SCTP","74","DATA (TSN=22) (retransmission) "
"642","22.291611417","172.16.0.58","172.16.0.59","SCTP","110","SACK (Ack=22, Arwnd=106496) DATA (TSN=22) "
"643","22.291611602","172.16.0.58","172.16.0.59","SCTP","110","SACK (Ack=22, Arwnd=106496) DATA (TSN=22) (retransmission) "
"644","22.379888344","Cisco_2b:6f:e6","Cisco_ab:5c:2e","LOOP","64","Unknown function (256)"
"645","22.379888591","Cisco_2b:6f:e6","Cisco_ab:5c:2e","LOOP","64","Unknown function (256)"
"646","22.390903910","Cisco_2b:70:16","Cisco_ab:5c:2e","LOOP","60","Unknown function (256)"
"647","22.390904071","Cisco_2b:70:16","Cisco_ab:5c:2e","LOOP","60","Unknown function (256)"
"648","22.495404995","172.16.0.59","172.16.0.58","SCTP","62","SACK (Ack=22, Arwnd=106496) "
"649","22.495405185","172.16.0.59","172.16.0.58","SCTP","62","SACK (Ack=22, Arwnd=106496) "
"650","22.684978477","Cisco_2b:6c:05","Cisco_ab:5c:2e","LOOP","60","Unknown function (256)"
"651","22.684978679","Cisco_2b:6c:05","Cisco_ab:5c:2e","LOOP","60","Unknown function (256)"
"652","22.717822407","Netgear_75:fa:7a","Broadcast","LOOP","60","No valid function found"
"653","22.717822607","Netgear_75:fa:7a","Broadcast","LOOP","60","No valid function found"
"654","22.835092375","Netgear_75:f9:f3","Broadcast","LOOP","60","No valid function found"
"655","22.835092548","Netgear_75:f9:f3","Broadcast","LOOP","60","No valid function found"
"656","22.993976025","Dell_50:03:f5","Broadcast","ARP","60","Who has 172.16.0.77? Tell 172.16.0.113"
"657","22.993976313","Dell_50:03:f5","Broadcast","ARP","60","Who has 172.16.0.77? Tell 172.16.0.113"
